price_doc, sale price (this is the target variable),id, transaction id
id, transaction id,timestamp, date of transaction
timestamp, date of transaction,full_sq," total area in square meters, including loggias, balconies and other non-residential areas"
full_sq," total area in square meters, including loggias, balconies and other non-residential areas",life_sq," living area in square meters, excluding loggias, balconies and other non-residential areas"
life_sq," living area in square meters, excluding loggias, balconies and other non-residential areas",floor," for apartments, floor of the building"
floor," for apartments, floor of the building",max_floor, number of floors in the building
max_floor, number of floors in the building,material, wall material
material, wall material,build_year, year built
build_year, year built,num_room, number of living rooms
num_room, number of living rooms,kitch_sq, kitchen area
kitch_sq, kitchen area,state, apartment condition
state, apartment condition,product_type, owner-occupier purchase or investment
product_type, owner-occupier purchase or investment,sub_area, name of the district
sub_area, name of the district,area_m,"Area mun. area, sq.m."
full_all, subarea population,raion_popul,Number of municipality population. district
"male_f, female_f", subarea population by gender,green_zone_part,Proportion of area of ​​greenery in the total area
young_*, population younger than working age,indust_part,Share of industrial zones in area of ​​the total area
work_*, working-age population,children_preschool,Number of pre-school age population
ekder_*, retirement-age population,preschool_quota,Number of seats in pre-school organizations
n_m_{all|male|female}, population between n and m years old,preschool_education_centers_raion,Number of pre-school  institutions
build_count_*, buildings in the subarea by construction type or year,children_school,Population of school-age children
x_count_500, the number of x within 500m of the property,school_quota,Number of high school seats in area
x_part_500, the share of x within 500m of the property,school_education_centers_raion,Number of  high school institutions
_sqm_, square meters,school_education_centers_top_20_raion,Number of high schools of the top 20 best schools in Moscow
cafe_count_d_price_p, number of cafes within d meters of the property that have an average bill under p RUB,hospital_beds_raion,Number of hospital beds for the district
trc_, shopping malls,healthcare_centers_raion,Number of healthcare centers in district
prom_, industrial zones,university_top_20_raion,Number of higher education institutions in the top ten ranking of the Federal rank
green_, green zones,sport_objects_raion,Number of higher education institutions
metro_, subway,additional_education_raion,Number of additional education organizations
_avto_, distances by car,culture_objects_top_25,"Presence of the key objects of cultural heritage (significant objects for the level of the RF constituent entities, city)"
mkad_, Moscow Circle Auto Road,culture_objects_top_25_raion,Number of  objects of cultural heritage
ttk_, Third Transport Ring,shopping_centers_raion,Number of malls and shopping centres in district
sadovoe_, Garden Ring,office_raion,Number of malls and shopping centres in district
bulvar_ring_, Boulevard Ring,thermal_power_plant_raion,Presence of thermal power station in district
kremlin_, City center,incineration_raion,Presence of incinerators
zd_vokzaly_, Train station,oil_chemistry_raion,Presence of dirty industries
oil_chemistry_, Dirty industry,radiation_raion,Presence of radioactive waste disposal
ts_, Power plant,railroad_terminal_raion,Presence of the railroad terminal in district
area_m,"Area mun. area, sq.m.",big_market_raion,Presence of large grocery / wholesale markets
raion_popul,Number of municipality population. district,nuclear_reactor_raion,Presence of existing nuclear reactors
green_zone_part,Proportion of area of ​​greenery in the total area,detention_facility_raion,"Presence of detention centers, prisons"
indust_part,Share of industrial zones in area of ​​the total area,full_all, subarea population
children_preschool,Number of pre-school age population,male_f,Male population
preschool_quota,Number of seats in pre-school organizations,female_f,Female population
preschool_education_centers_raion,Number of pre-school  institutions,young_all,Population younger than working age
children_school,Population of school-age children,young_male,Male population younger than working age 
school_quota,Number of high school seats in area,young_female,Feale population younger than working age 
school_education_centers_raion,Number of  high school institutions,work_all,Working-age population
school_education_centers_top_20_raion,Number of high schools of the top 20 best schools in Moscow,work_male,Male working-age population
hospital_beds_raion,Number of hospital beds for the district,work_female,Female working-age population
healthcare_centers_raion,Number of healthcare centers in district,ekder_all,Population older than  working age
university_top_20_raion,Number of higher education institutions in the top ten ranking of the Federal rank,ekder_male,Male population older than  working age
sport_objects_raion,Number of higher education institutions,ekder_female,Female population older than  working age
